#zbin zmean nqsos gimode ugmode grmode rimode izmode
2.93 2.931 1002 0.188 1.349 0.182 0.024 0.099
2.94 2.941 1033 0.199 1.399 0.178 0.042 0.085
2.95 2.950 978 0.176 1.449 0.182 0.032 0.048
2.96 2.961 964 0.197 1.401 0.197 0.024 0.082
2.97 2.970 1004 0.199 1.453 0.189 0.031 0.064
2.98 2.981 1022 0.188 1.520 0.195 0.013 0.097
2.99 2.990 972 0.211 1.492 0.187 0.027 0.096
3.00 3.000 1010 0.173 1.571 0.190 0.011 0.095
3.01 3.011 925 0.187 1.506 0.207 0.011 0.085
3.02 3.020 973 0.200 1.564 0.225 0.014 0.077
3.03 3.031 959 0.233 1.591 0.219 0.022 0.080
3.04 3.040 904 0.228 1.707 0.228 0.022 0.076
3.05 3.051 923 0.218 1.735 0.236 0.020 0.070
3.06 3.060 888 0.255 1.774 0.223 0.038 0.085
3.07 3.070 859 0.230 1.711 0.219 0.019 0.074
3.08 3.080 836 0.252 1.860 0.257 0.044 0.059
3.09 3.091 810 0.242 1.666 0.229 0.015 0.053
3.10 3.101 874 0.270 1.935 0.253 0.033 0.066
3.11 3.110 812 0.264 1.993 0.260 0.041 0.055
3.12 3.121 787 0.264 1.948 0.261 0.042 0.059
3.13 3.131 757 0.266 1.956 0.254 0.047 0.058
3.14 3.141 777 0.274 2.015 0.257 0.045 0.050
3.15 3.151 780 0.294 2.021 0.243 0.048 0.040
3.16 3.160 754 0.305 2.045 0.257 0.059 0.040
3.17 3.170 731 0.303 2.177 0.277 0.045 0.039
3.18 3.181 756 0.313 2.037 0.285 0.038 0.060
3.19 3.191 699 0.283 2.159 0.266 0.040 0.079
3.20 3.200 702 0.339 2.280 0.282 0.069 0.052
3.21 3.211 688 0.315 2.293 0.282 0.058 0.042
3.22 3.220 672 0.351 2.435 0.278 0.059 0.051
3.23 3.231 637 0.379 2.438 0.309 0.062 0.074
3.24 3.240 639 0.350 2.476 0.328 0.049 0.059
3.25 3.250 630 0.405 2.443 0.333 0.075 0.039
3.26 3.261 562 0.396 2.625 0.337 0.055 0.067
3.27 3.270 570 0.387 2.430 0.348 0.061 0.071
3.28 3.281 554 0.425 2.536 0.358 0.063 0.069
3.29 3.291 538 0.431 2.552 0.387 0.067 0.080
3.30 3.301 530 0.438 2.618 0.357 0.059 0.066
3.31 3.310 504 0.445 2.591 0.389 0.060 0.062
3.32 3.321 487 0.477 2.618 0.421 0.061 0.089
3.33 3.330 475 0.486 2.852 0.436 0.064 0.089
3.34 3.340 432 0.477 2.761 0.426 0.058 0.106
3.35 3.350 406 0.527 2.838 0.455 0.076 0.086
3.36 3.361 370 0.558 2.739 0.466 0.078 0.107
3.37 3.371 351 0.570 2.752 0.486 0.099 0.111
3.38 3.381 359 0.623 2.747 0.536 0.101 0.101
3.39 3.391 291 0.622 2.876 0.534 0.107 0.096
3.40 3.401 300 0.681 2.877 0.572 0.133 0.106
3.41 3.410 271 0.688 3.016 0.579 0.134 0.122
3.42 3.420 251 0.751 2.886 0.638 0.155 0.113
3.43 3.430 222 0.716 2.921 0.616 0.130 0.105
3.44 3.441 217 0.772 2.862 0.639 0.142 0.123
3.45 3.451 221 0.791 3.098 0.652 0.151 0.136
3.46 3.461 237 0.819 3.129 0.675 0.149 0.093
3.47 3.470 205 0.863 2.962 0.702 0.163 0.141
3.48 3.480 176 0.863 2.773 0.712 0.145 0.108
3.49 3.491 205 0.887 3.320 0.745 0.162 0.112
3.50 3.500 183 0.918 3.036 0.774 0.155 0.074
3.52 3.521 459 0.963 3.232 0.792 0.156 0.098
3.55 3.551 485 1.023 3.069 0.867 0.153 0.083
